ESTIMATION_DATE,FORECAST_DATE,PC1_FORECAST_VAR,PC2_FORECAST_VAR,PC3_FORECAST_VAR,PC4_FORECAST_VAR,PC1_FORECAST_PERS,PC2_FORECAST_PERS,PC3_FORECAST_PERS,PC4_FORECAST_PERS,PC1_ACTUAL,PC2_ACTUAL,PC3_ACTUAL,PC4_ACTUAL,PC1_ERROR_VAR,PC1_ABS_ERROR_VAR,PC1_SQ_ERROR_VAR,PC1_ERROR_PERS,PC1_ABS_ERROR_PERS,PC1_SQ_ERROR_PERS,PC2_ERROR_VAR,PC2_ABS_ERROR_VAR,PC2_SQ_ERROR_VAR,PC2_ERROR_PERS,PC2_ABS_ERROR_PERS,PC2_SQ_ERROR_PERS,PC3_ERROR_VAR,PC3_ABS_ERROR_VAR,PC3_SQ_ERROR_VAR,PC3_ERROR_PERS,PC3_ABS_ERROR_PERS,PC3_SQ_ERROR_PERS,PC4_ERROR_VAR,PC4_ABS_ERROR_VAR,PC4_SQ_ERROR_VAR,PC4_ERROR_PERS,PC4_ABS_ERROR_PERS,PC4_SQ_ERROR_PERS
2023-06-16,2023-07-17,0.10045192403626116,0.0009545202153984986,0.008541605806539712,0.0003000414388413747,0.100719366,0.001165656,0.008450716,0.000240744,0.101134897,0.003865309,0.007283421,0.000377027,0.0006829729637388426,0.0006829729637388426,4.6645206919821845e-07,0.00041553099999999676,0.00041553099999999676,1.7266601196099732e-07,0.0029107887846015015,0.0029107887846015015,8.472691348561886e-06,0.0026996529999999998,0.0026996529999999998,7.288126320408999e-06,-0.0012581848065397125,0.0012581848065397125,1.5830290074073737e-06,-0.0011672950000000005,0.0011672950000000005,1.3625776170250011e-06,7.698556115862527e-05,7.698556115862527e-05,5.9267766269084325e-09,0.00013628299999999998,0.00013628299999999998,1.8573056088999997e-08
2023-06-19,2023-07-18,0.1003077992111281,0.0015564881288086343,0.007977603637239887,0.00024585571791125297,0.101014892,0.001718513,0.007839211,0.00019829,0.098519802,0.004146248,0.007441417,0.000466097,-0.0017879972111281006,0.0017879972111281006,3.1969340270018657e-06,-0.0024950899999999915,0.0024950899999999915,6.225474108099957e-06,0.0025897598711913656,0.0025897598711913656,6.706856190433119e-06,0.002427735,0.002427735,5.893897230224999e-06,-0.0005361866372398877,0.0005361866372398877,2.8749610995461896e-07,-0.0003977940000000008,0.0003977940000000008,1.5824006643600062e-07,0.00022024128208874704,0.00022024128208874704,4.8506222336095046e-08,0.000267807,0.000267807,7.1720589249e-08
2023-06-20,2023-07-19,0.10016470035347776,0.0016198353098887425,0.00807272524753629,0.0002605155326320993,0.101109098,0.001783913,0.007955062,0.000235903,0.096004798,0.004410741,0.007743956,0.000600956,-0.004159902353477754,0.004159902353477754,1.7304787590469756e-05,-0.005104299999999992,0.005104299999999992,2.605387848999992e-05,0.002790905690111258,0.002790905690111258,7.789154571095396e-06,0.0026268280000000003,0.0026268280000000003,6.900225341584002e-06,-0.00032876924753628967,0.00032876924753628967,1.080892181255781e-07,-0.00021110600000000083,0.00021110600000000083,4.456574323600035e-08,0.00034044046736790074,0.00034044046736790074,1.158997118216747e-07,0.00036505300000000006,0.00036505300000000006,1.3326369280900005e-07
2023-06-21,2023-07-20,0.1007699491247071,0.001831387747092219,0.007923289691965882,0.0001934820494492599,0.101544415,0.002069687,0.007791084,0.000142331,0.099233329,0.004026891,0.007420024,0.000484506,-0.0015366201247071082,0.0015366201247071082,2.3612014076548887e-06,-0.002311086000000004,0.002311086000000004,5.341118499396018e-06,0.002195503252907781,0.002195503252907781,4.820234533528648e-06,0.001957204,0.001957204,3.8306474976160005e-06,-0.0005032656919658823,0.0005032656919658823,2.5327635670989833e-07,-0.0003710600000000003,0.0003710600000000003,1.3768552360000023e-07,0.00029102395055074007,0.00029102395055074007,8.46949397941596e-08,0.000342175,0.000342175,1.1708373062500001e-07
2023-06-22,2023-07-21,0.09818721892074488,0.0031139082334886263,0.0073394406332405624,0.0002475192613507366,0.099210578,0.003295214,0.007257447,0.00021546,0.100858192,0.003434616,0.007426049,0.000494542,0.0026709730792551234,0.0026709730792551234,7.1340971901055956e-06,0.0016476140000000056,0.0016476140000000056,2.7146318929960183e-06,0.00032070776651137384,0.00032070776651137384,1.0285347150071388e-07,0.00013940200000000028,0.00013940200000000028,1.9432917604000076e-08,8.660836675943723e-05,8.660836675943723e-05,7.50100919273719e-09,0.00016860199999999947,0.00016860199999999947,2.842663440399982e-08,0.00024702273864926345,0.00024702273864926345,6.102023340978232e-08,0.00027908200000000005,0.00027908200000000005,7.788676272400003e-08
2023-06-23,2023-07-24,0.09881766600757656,0.0031713709270943698,0.007053416325946661,0.0003652903799379076,0.100131403,0.003351074,0.006949931,0.000367144,0.097748027,0.003483161,0.00788997,0.000584186,-0.0010696390075765616,0.0010696390075765616,1.1441276065293716e-06,-0.0023833759999999926,0.0023833759999999926,5.680481157375965e-06,0.00031179007290563004,0.00031179007290563004,9.72130495624981e-08,0.00013208699999999992,0.00013208699999999992,1.7446975568999977e-08,0.0008365536740533386,0.0008365536740533386,6.998220495721395e-07,0.0009400389999999993,0.0009400389999999993,8.836733215209986e-07,0.00021889562006209237,0.00021889562006209237,4.7915292482367896e-08,0.00021704199999999997,0.00021704199999999997,4.710722976399999e-08
2023-06-26,2023-07-25,0.09691742570515531,0.003839346594988476,0.006943039284423969,0.0003271046390598691,0.097701628,0.004143721,0.006926586,0.000297207,0.099362385,0.003287913,0.007670997,0.000473366,0.002444959294844687,0.002444959294844687,5.977825953447428e-06,0.0016607569999999988,0.0016607569999999988,2.758113813048996e-06,-0.0005514335949884761,0.0005514335949884761,3.0407900968191463e-07,-0.0008558080000000004,0.0008558080000000004,7.324073328640007e-07,0.0007279577155760303,0.0007279577155760303,5.299224356666726e-07,0.0007444109999999995,0.0007444109999999995,5.541477369209993e-07,0.00014626136094013093,0.00014626136094013093,2.139238570405926e-08,0.000176159,0.000176159,3.1031993281e-08
2023-06-27,2023-07-26,0.09519315408059494,0.00402526288513193,0.007129569617630233,0.0003146785578442313,0.096124795,0.004341814,0.007179458,0.00030516,0.09946735,0.003251422,0.007633795,0.000522209,0.0042741959194050605,0.0042741959194050605,1.826875075745887e-05,0.003342554999999997,0.003342554999999997,1.117267392802498e-05,-0.0007738408851319305,0.0007738408851319305,5.988297155017696e-07,-0.0010903920000000004,0.0010903920000000004,1.1889547136640007e-06,0.0005042253823697666,0.0005042253823697666,2.542432362259373e-07,0.00045433699999999997,0.00045433699999999997,2.0642210956899996e-07,0.00020753044215576874,0.00020753044215576874,4.306888442136888e-08,0.00021704900000000003,0.00021704900000000003,4.711026840100001e-08
2023-06-28,2023-07-27,0.09545241985429162,0.003943363656189175,0.0071288480316948465,0.000304072767827478,0.096349897,0.004273767,0.007167451,0.000291678,0.101132835,0.002665202,0.007900233,0.000439365,0.005680415145708384,0.005680415145708384,3.2267116227593205e-05,0.0047829380000000005,0.0047829380000000005,2.2876495911844005e-05,-0.001278161656189175,0.001278161656189175,1.6336972193522546e-06,-0.0016085650000000002,0.0016085650000000002,2.5874813592250004e-06,0.000771384968305153,0.000771384968305153,5.95034769327142e-07,0.0007327819999999995,0.0007327819999999995,5.369694595239993e-07,0.000135292232172522,0.000135292232172522,1.83039880862236e-08,0.00014768699999999997,0.00014768699999999997,2.181144996899999e-08
2023-06-29,2023-07-28,0.09604540955420673,0.003938174367526089,0.006887288952634924,0.00013939326365554808,0.096776961,0.004344619,0.006863456,8.1e-05,0.101027738,0.001581278,0.008522461,0.000556761,0.0049823284457932715,0.0049823284457932715,2.4823596741760795e-05,0.004250777000000011,0.004250777000000011,1.8069105103729095e-05,-0.0023568963675260884,0.0023568963675260884,5.5549604872576705e-06,-0.002763341,0.002763341,7.636053482281e-06,0.0016351720473650761,0.0016351720473650761,2.6737876244840947e-06,0.0016590049999999999,0.0016590049999999999,2.7522975900249996e-06,0.00041736773634445197,0.00041736773634445197,1.7419582734129198e-07,0.000475761,0.000475761,2.26348529121e-07
